Sex,Agemos,L,M,S
1,0,0.3487,3.3464,0.14602
1,1,0.2297,4.4709,0.13395
1,2,0.197,5.5675,0.12385
1,3,0.1738,6.3762,0.11727
1,4,0.1553,7.0023,0.11316
1,5,0.1395,7.5105,0.1108
1,6,0.1257,7.934,0.10958
1,7,0.1134,8.297,0.10902
1,8,0.1021,8.6151,0.10882
1,9,0.0917,8.9014,0.10881
1,10,0.082,9.1649,0.10891
1,11,0.073,9.4122,0.10906
1,12,0.0644,9.6479,0.10925
1,13,0.0563,9.8749,0.10949
1,14,0.0487,10.0953,0.10976
1,15,0.0413,10.3108,0.11007
1,16,0.0343,10.5228,0.11041
1,17,0.0275,10.7319,0.11079
1,18,0.0211,10.9385,0.11119
1,19,0.0148,11.143,0.11164
1,20,0.0087,11.3462,0.11211
1,21,0.0029,11.5486,0.11261
1,22,-0.0028,11.7504,0.11314
1,23,-0.0083,11.9514,0.11369
1,24,-0.0137,12.1515,0.11426
1,25,-0.0189,12.3502,0.11485
1,26,-0.024,12.5466,0.11544
1,27,-0.0289,12.7401,0.11604
1,28,-0.0337,12.9303,0.11664
1,29,-0.0385,13.1169,0.11723
1,30,-0.0431,13.3,0.11781
1,31,-0.0476,13.4798,0.11839
1,32,-0.052,13.6567,0.11896
1,33,-0.0564,13.8309,0.11953
1,34,-0.0606,14.0031,0.12008
1,35,-0.0648,14.1736,0.12062
1,36,-0.0689,14.3429,0.12116
1,37,-0.0729,14.5113,0.12168
1,38,-0.0769,14.6791,0.1222
1,39,-0.0808,14.8466,0.12271
1,40,-0.0846,15.014,0.12322
1,41,-0.0883,15.1813,0.12373
1,42,-0.092,15.3486,0.12425
1,43,-0.0957,15.5158,0.12478
1,44,-0.0993,15.6828,0.12531
1,45,-0.1028,15.8497,0.12586
1,46,-0.1063,16.0163,0.12643
1,47,-0.1097,16.1827,0.127
1,48,-0.1131,16.3489,0.12759
1,49,-0.1165,16.515,0.12819
1,50,-0.1198,16.6811,0.1288
1,51,-0.123,16.8471,0.12943
1,52,-0.1262,17.0132,0.13005
1,53,-0.1294,17.1792,0.13069
1,54,-0.1325,17.3452,0.13133
1,55,-0.1356,17.5111,0.13197
1,56,-0.1387,17.6768,0.13261
1,57,-0.1417,17.8422,0.13325
1,58,-0.1447,18.0073,0.13389
1,59,-0.1477,18.1722,0.13453
1,60,-0.1506,18.3366,0.13517
2,0,0.3809,3.2322,0.14171
2,1,0.1714,4.1873,0.13724
2,2,0.0962,5.1282,0.13
2,3,0.0402,5.8458,0.12619
2,4,-0.005,6.4237,0.12402
2,5,-0.043,6.8985,0.12274
2,6,-0.0756,7.297,0.12204
2,7,-0.1039,7.6422,0.12178
2,8,-0.1288,7.9487,0.12181
2,9,-0.1507,8.2254,0.12199
2,10,-0.17,8.48,0.12223
2,11,-0.1872,8.7192,0.12247
2,12,-0.2024,8.9481,0.12268
2,13,-0.2158,9.1699,0.12283
2,14,-0.2278,9.387,0.12294
2,15,-0.2384,9.6008,0.12299
2,16,-0.2478,9.8124,0.12303
2,17,-0.2562,10.0226,0.12306
2,18,-0.2637,10.2315,0.12309
2,19,-0.2703,10.4393,0.12315
2,20,-0.2762,10.6464,0.12323
2,21,-0.2815,10.8534,0.12335
2,22,-0.2862,11.0608,0.1235
2,23,-0.2903,11.2688,0.12369
2,24,-0.2941,11.4775,0.1239
2,25,-0.2975,11.6864,0.12414
2,26,-0.3005,11.8947,0.12441
2,27,-0.3032,12.1015,0.12472
2,28,-0.3057,12.3059,0.12506
2,29,-0.308,12.5073,0.12545
2,30,-0.3101,12.7055,0.12587
2,31,-0.312,12.9006,0.12633
2,32,-0.3138,13.093,0.12683
2,33,-0.3155,13.2837,0.12737
2,34,-0.3171,13.4731,0.12794
2,35,-0.3186,13.6618,0.12855
2,36,-0.3201,13.8503,0.12919
2,37,-0.3216,14.0385,0.12988
2,38,-0.323,14.2265,0.13059
2,39,-0.3243,14.414,0.13135
2,40,-0.3257,14.601,0.13213
2,41,-0.327,14.7873,0.13293
2,42,-0.3283,14.9727,0.13376
2,43,-0.3296,15.1573,0.1346
2,44,-0.3309,15.341,0.13545
2,45,-0.3322,15.524,0.1363
2,46,-0.3335,15.7064,0.13716
2,47,-0.3348,15.8882,0.138
2,48,-0.3361,16.0697,0.13884
2,49,-0.3374,16.2511,0.13968
2,50,-0.3387,16.4322,0.14051
2,51,-0.34,16.6133,0.14132
2,52,-0.3414,16.7942,0.14213
2,53,-0.3427,16.9748,0.14293
2,54,-0.344,17.1551,0.14371
2,55,-0.3453,17.3347,0.14448
2,56,-0.3466,17.5136,0.14525
2,57,-0.3479,17.6916,0.146
2,58,-0.3492,17.8686,0.14675
2,59,-0.3505,18.0445,0.14748
2,60,-0.3518,18.2193,0.14821
