Sex,Agemos,L,M,S
1,0,0.3487,3.3464,0.14602
1,1,0.2297,4.4709,0.13395
1,2,0.197,5.5675,0.12385
1,3,0.1738,6.3762,0.11727
1,4,0.1553,7.0023,0.11316
1,5,0.1395,7.5105,0.1108
1,6,0.1257,7.934,0.10958
1,7,0.1134,8.297,0.10902
1,8,0.1021,8.6151,0.10882
1,9,0.0917,8.9014,0.10881
1,10,0.082,9.1649,0.10891
1,11,0.073,9.4122,0.10906
1,12,0.0644,9.6479,0.10925
1,13,0.0563,9.8749,0.10949
1,14,0.0487,10.0953,0.10976
1,15,0.0413,10.3108,0.11007
1,16,0.0343,10.5228,0.11041
1,17,0.0275,10.7319,0.11079
1,18,0.0211,10.9385,0.11119
1,19,0.0148,11.143,0.11164
1,20,0.0087,11.3462,0.11211
1,21,0.0029,11.5486,0.11261
1,22,-0.0028,11.7504,0.11314
1,23,-0.0083,11.9514,0.11369
1,24,-0.0137,12.1515,0.11426
1,25,-0.0189,12.3502,0.11485
1,26,-0.024,12.5466,0.11544
1,27,-0.0289,12.7401,0.11604
1,28,-0.0337,12.9303,0.11664
1,29,-0.0385,13.1169,0.11723
1,30,-0.0431,13.3,0.11781
1,31,-0.0476,13.4798,0.11839
1,32,-0.052,13.6567,0.11896
1,33,-0.0564,13.8309,0.11953
1,34,-0.0606,14.0031,0.12008
1,35,-0.0648,14.1736,0.12062
1,36,-0.0689,14.3429,0.12116
1,37,-0.0729,14.5113,0.12168
1,38,-0.0769,14.6791,0.1222
1,39,-0.0808,14.8466,0.12271
1,40,-0.0846,15.014,0.12322
1,41,-0.0883,15.1813,0.12373
1,42,-0.092,15.3486,0.12425
1,43,-0.0957,15.5158,0.12478
1,44,-0.0993,15.6828,0.12531
1,45,-0.1028,15.8497,0.12586
1,46,-0.1063,16.0163,0.12643
1,47,-0.1097,16.1827,0.127
1,48,-0.1131,16.3489,0.12759
1,49,-0.1165,16.515,0.12819
1,50,-0.1198,16.6811,0.1288
1,51,-0.123,16.8471,0.12943
1,52,-0.1262,17.0132,0.13005
1,53,-0.1294,17.1792,0.13069
1,54,-0.1325,17.3452,0.13133
1,55,-0.1356,17.5111,0.13197
1,56,-0.1387,17.6768,0.13261
1,57,-0.1417,17.8422,0.13325
1,58,-0.1447,18.0073,0.13389
1,59,-0.1477,18.1722,0.13453
1,60,-0.1506,18.3366,0.13517
1,61,-0.2026,18.5057,0.12988
1,62,-0.213,18.6802,0.13028
1,63,-0.2234,18.8563,0.13067
1,64,-0.2338,19.034,0.13105
1,65,-0.2443,19.2132,0.13142
1,66,-0.2548,19.394,0.13178
